,age,education-num,race,gender,capital-gain,capital-loss,hours-per-week,income,marital-status_Divorced,marital-status_Married-AF-spouse,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife
113,22,9,1,1,0,0,41,0,0,0,0,0,1,0,0,0,1,0,0,0,0
114,21,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
115,40,13,1,1,0,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,30,13,0,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
117,29,13,1,1,0,0,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0
118,19,10,0,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0
119,47,13,1,0,0,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
120,20,10,1,0,0,1719,28,0,0,0,0,0,1,0,0,0,0,0,1,0,0
121,31,12,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
122,35,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
123,39,10,1,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
124,28,12,1,0,0,0,60,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,24,9,1,0,0,1762,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
126,38,9,1,1,4386,0,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0
127,37,13,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
128,46,12,0,0,0,0,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0
129,38,14,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
130,43,9,1,1,0,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
131,27,11,1,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1
132,20,10,1,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0
133,61,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
134,27,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
135,19,10,1,1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0
136,45,11,1,0,0,1564,40,1,0,0,0,0,1,0,0,0,1,0,0,0,0
137,70,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0
138,31,9,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0
139,22,10,1,1,0,0,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0
140,36,9,1,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,1,0
141,64,7,1,1,0,2179,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
142,43,10,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
143,47,10,1,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0
144,34,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
145,21,9,1,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0
146,52,9,1,1,0,0,45,1,1,0,0,0,0,0,0,0,1,0,0,0,0
147,48,9,1,1,0,0,46,0,0,0,1,0,0,0,0,1,0,0,0,0,0
148,23,13,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
149,71,10,0,1,0,1816,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
150,29,9,1,1,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
151,42,13,0,1,0,0,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0
152,68,2,1,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0
153,25,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0
154,45,14,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
155,36,10,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0
156,39,12,1,1,0,0,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,46,14,1,1,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,1,0
158,18,7,1,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0
159,66,11,1,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0
160,27,9,1,1,0,1980,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
161,28,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
162,51,10,1,1,0,1977,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
163,27,13,1,1,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0
164,28,13,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
165,27,9,1,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0
166,21,9,0,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
167,34,9,0,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
168,18,9,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0
169,33,13,1,1,0,0,65,0,0,0,1,0,0,0,0,1,0,0,0,0,0
170,44,10,0,1,0,0,38,1,0,0,1,0,0,0,0,1,0,0,0,0,0
171,43,10,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
172,30,10,0,1,0,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0,0
173,40,4,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
174,37,10,1,1,0,0,42,1,0,0,1,0,0,0,0,1,0,0,0,0,0
175,34,9,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
176,41,13,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
177,53,13,1,0,0,0,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0
178,31,14,1,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1
179,58,16,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
180,38,10,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0
181,24,10,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,41,13,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
183,47,10,1,1,0,0,45,0,0,0,1,0,0,0,0,1,0,0,0,0,0
184,41,13,1,1,0,0,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0
185,23,3,1,1,0,0,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0
186,36,10,1,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
187,40,14,1,0,14084,0,55,1,0,0,0,0,1,0,0,0,1,0,0,0,0
188,35,14,1,1,7298,0,40,1,0,0,1,0,0,0,0,0,0,1,0,0,0
189,24,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
190,26,14,1,0,0,1876,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
191,19,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
192,51,13,1,1,0,0,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0
193,42,10,1,0,0,1340,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
194,37,9,1,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0
195,18,7,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
196,36,13,0,1,7298,0,36,1,0,0,1,0,0,0,0,1,0,0,0,0,0
197,35,9,1,1,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
198,58,9,1,0,15024,0,35,1,0,0,1,0,0,0,0,0,0,0,0,0,1
199,17,7,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0
200,44,9,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
201,37,9,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
202,54,4,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
203,37,13,0,1,0,0,60,1,0,0,0,0,1,0,0,0,1,0,0,0,0
204,50,12,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
205,38,13,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
206,45,13,1,1,0,0,55,0,0,0,1,0,0,0,0,1,0,0,0,0,0
207,25,6,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
208,31,10,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
209,64,2,1,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
210,90,9,0,1,0,2206,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
211,54,9,0,1,0,0,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0
212,53,1,1,0,0,0,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0
213,18,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
214,66,9,1,1,1409,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
215,75,11,1,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0
216,65,9,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
217,35,7,0,1,3674,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,0
218,41,9,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0
219,25,10,1,1,0,0,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0
220,28,15,1,1,0,0,55,1,0,0,0,0,1,0,0,0,1,0,0,0,0
221,59,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
222,40,10,1,0,0,0,38,0,0,0,0,0,1,0,0,0,1,0,0,0,0
223,41,13,1,1,0,0,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0
224,38,14,1,1,0,0,70,1,0,0,1,0,0,0,0,1,0,0,0,0,0
225,23,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
226,40,13,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
227,41,9,1,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1
228,24,12,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
229,20,10,1,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0
230,38,10,1,1,0,1741,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
231,56,9,1,1,0,0,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0
232,58,9,1,1,0,0,45,1,0,0,1,0,0,0,0,1,0,0,0,0,0
233,32,9,1,0,0,0,34,0,0,0,0,0,1,0,0,0,1,0,0,0,0
234,40,12,1,1,0,1977,60,1,0,0,1,0,0,0,0,1,0,0,0,0,0
235,45,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
236,41,15,1,0,0,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
237,42,13,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1
238,59,6,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0
239,19,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
240,58,10,1,1,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
241,20,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
242,32,9,1,0,0,0,30,0,0,0,0,0,0,1,0,0,1,0,0,0,0
243,45,11,1,0,0,0,45,0,0,0,0,0,0,0,1,0,1,0,0,0,0
244,50,4,1,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
245,36,13,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0
246,45,9,1,1,0,0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
247,17,7,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0
248,59,10,1,1,4064,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
249,26,7,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
250,19,10,1,1,0,0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0
251,64,9,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
252,33,13,1,0,0,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0,0
253,33,9,1,0,0,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
254,61,9,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
255,17,5,1,1,1055,0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0
256,50,14,1,1,2407,0,98,0,0,0,1,0,0,0,0,1,0,0,0,0,0
257,27,14,1,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0
258,30,9,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0
259,43,9,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
260,44,10,1,1,7298,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
261,35,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
262,25,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
263,24,10,1,0,7298,0,48,1,0,0,1,0,0,0,0,0,0,0,0,0,1
264,22,13,1,0,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0
265,42,10,1,1,5178,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
266,34,12,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0
267,60,13,1,0,0,0,42,0,1,0,0,0,0,0,0,0,1,0,0,0,0
268,21,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
269,57,14,1,1,15024,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
270,41,15,1,1,0,0,60,1,0,0,1,0,0,0,0,1,0,0,0,0,0
271,50,10,1,1,0,0,45,0,1,0,0,0,0,0,0,0,1,0,0,0,0
272,25,13,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
273,50,4,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
274,36,13,1,1,0,0,45,0,0,0,1,0,0,0,0,1,0,0,0,0,0
275,31,9,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
276,29,13,1,1,0,0,56,0,0,0,0,0,1,0,0,0,1,0,0,0,0
277,21,10,1,1,0,0,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0
278,27,13,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0
279,65,9,1,1,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0
280,37,13,1,0,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
281,24,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
282,38,9,1,1,0,0,80,0,1,0,0,0,0,0,0,0,1,0,0,0,0
283,48,13,1,1,7688,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
284,31,9,1,1,0,0,45,1,0,0,1,0,0,0,0,1,0,0,0,0,0
285,55,9,1,1,4386,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
286,43,9,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
287,26,12,1,1,0,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0,0
288,46,12,1,0,0,0,33,0,0,0,0,0,1,0,0,0,1,0,0,0,0
289,35,12,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
290,41,10,1,1,0,0,54,1,0,0,1,0,0,0,0,1,0,0,0,0,0
291,26,13,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
292,19,10,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0
293,36,13,0,0,0,0,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0
294,22,10,1,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0
295,24,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
296,77,10,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
297,22,3,1,0,0,0,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0
298,29,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
299,62,9,1,0,0,0,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0
300,39,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
301,43,10,1,1,0,1485,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
302,35,9,1,1,0,0,45,0,1,0,0,0,0,0,0,0,1,0,0,0,0
303,29,7,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
304,76,14,1,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
305,63,9,1,1,0,0,45,0,0,0,1,0,0,0,0,1,0,0,0,0,0
306,23,11,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0
307,43,10,1,0,0,1887,50,1,0,0,1,0,0,0,0,0,0,0,0,0,1
308,58,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
